Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,113,122071,86327,60938,122071,60938,60938,60938,60938,60938,60938
Partitions scanned,,114,122071,80070,60988,122071,60988,60988,60988,60988,60988,60988
Partitions scanned,,115,122071,77686,92053,122071,61083,61083,61083,61083,61083,61083
Partitions scanned,,116,122071,79151,60911,122071,60911,60911,60911,60911,60911,60911
Partitions scanned,,117,122071,89934,91912,122071,61080,61080,61080,61080,61080,61080
Partitions scanned,,118,122071,82779,91745,122071,60921,60921,60921,60921,60921,60921
Partitions scanned,,119,122071,86768,61258,122071,61258,61258,61258,61258,61258,61258
Partitions scanned,,120,122071,86100,61073,122071,61073,61073,61073,61073,61073,61073
Partitions scanned,,121,122071,88986,60959,122071,60959,60959,60959,60959,60959,60959
Partitions scanned,,122,122071,78012,61155,122071,61155,61155,61155,61155,61155,61155
Partitions scanned,,123,122071,81180,91827,122071,61059,91827,61059,61059,61059,61059
Partitions scanned,,124,122071,89534,61248,122071,61248,61248,61248,61248,61248,61248
Partitions scanned,,125,122071,78933,61026,122071,61026,61026,61026,61026,61026,61026
Partitions scanned,,126,122071,89749,61144,122071,61144,61144,61144,61144,61144,61144
Partitions scanned,,127,122071,87928,91646,122071,61066,61066,61066,61066,61066,61066
Partitions scanned,,128,61027,61027,61027,61027,61027,61027,61027,61027,61027,61027
Partitions scanned,,129,122071,78933,61026,122071,61026,61026,61026,61026,61026,61026
Partitions scanned,,130,122071,78933,61026,122071,61026,61026,61026,61026,61026,61026
Partitions scanned,,131,122071,83343,61082,122071,61082,61082,61082,61082,61082,61082
Partitions scanned,,132,122070,77333,61094,122070,61094,61094,61094,61094,61094,61094
Partitions scanned,,133,122071,81275,91646,122071,60538,60538,60538,60538,60538,60538
Partitions scanned,,134,122071,85360,61047,122071,61047,61047,61047,61047,61047,61047
Partitions scanned,,135,122071,87122,61053,122071,61053,61053,61053,61053,61053,61053
Partitions scanned,,136,122067,91239,91873,122067,61027,61027,61027,61027,61027,61027
Partitions scanned,,137,122071,87206,60969,122071,60969,60969,60969,60969,60969,60969
Partitions scanned,,138,122071,81180,91827,122071,61059,91827,61059,61059,61059,61059
Partitions scanned,,139,122071,83040,60724,122071,60724,60724,60724,60724,60724,60724
Partitions scanned,,140,122071,85842,60953,122071,60953,60953,60953,60953,60953,60953
Partitions scanned,,141,122071,78298,61287,122071,61287,61287,61287,61287,61287,61287
Partitions scanned,,142,122071,78933,61026,122071,61026,61026,61026,61026,61026,61026
Partitions scanned,,143,122071,86768,61258,122071,61258,61258,61258,61258,61258,61258
Partitions scanned,,144,122071,87537,60914,122071,60914,60914,60914,60914,60914,60914
Partitions scanned,,145,122071,81180,91827,122071,61059,91827,61059,61059,61059,61059
Partitions scanned,,146,91859,84144,60874,91859,60874,60874,60874,60874,60874,60874
Partitions scanned,,147,122071,85043,60779,122071,60779,60779,60779,60779,60779,60779
Partitions scanned,,148,122071,83827,61226,122071,61226,61226,61226,61226,61226,61226
Partitions scanned,,149,122071,78933,61026,122071,61026,61026,61026,61026,61026,61026
Partitions scanned,,150,122071,85043,60779,122071,60779,60779,60779,60779,60779,60779
Partitions scanned,,151,120537,76869,61541,120537,61541,61541,61541,61541,61541,61541
Partitions scanned,,152,122071,87537,60914,122071,60914,60914,60914,60914,60914,60914
Partitions scanned,,153,107415,91890,61057,107415,61057,61057,61057,61057,61057,61057
Partitions scanned,,154,107415,91890,61057,107415,61057,61057,61057,61057,61057,61057
Partitions scanned,,155,122071,86100,61073,122071,61073,61073,61073,61073,61073,61073
Partitions scanned,,156,122070,77280,61005,122070,61005,61005,61005,61005,61005,61005
Partitions scanned,,157,122071,89934,61129,122071,61129,61129,61129,61129,61129,61129
Partitions scanned,,158,122071,78520,91827,122071,60950,91827,60950,60950,60950,60950
Partitions scanned,,159,122071,88867,61114,122071,61114,61114,61114,61114,61114,61114
Partitions scanned,,160,122071,79529,61044,122071,61044,61044,61044,61044,61044,61044
Partitions scanned,,161,122071,78012,61155,122071,61155,61155,61155,61155,61155,61155
Partitions scanned,,162,122071,88330,60815,122071,60815,60815,60815,60815,60815,60815
Partitions scanned,,163,107415,91890,61057,107415,61057,61057,61057,61057,61057,61057
Partitions scanned,,164,122071,80431,61115,122071,61115,61115,61115,61115,61115,61115
Partitions scanned,,165,122071,80718,60936,122071,60936,60936,60936,60936,60936,60936
Partitions scanned,,166,122071,91234,61163,122071,61163,61163,61163,61163,61163,61163
Partitions scanned,,167,122071,78298,61287,122071,61287,61287,61287,61287,61287,61287
Partitions scanned,,168,122071,91234,61163,122071,61163,61163,61163,61163,61163,61163
Partitions scanned,,169,122071,78012,61155,122071,61155,61155,61155,61155,61155,61155
Partitions scanned,,170,122071,81378,61072,122071,61072,61072,61072,61072,61072,61072
Partitions scanned,,171,122070,77289,60602,122070,60602,60602,60602,60602,60602,60602
Partitions scanned,,172,122071,78553,60996,122071,60996,60996,60996,60996,60996,60996
Partitions scanned,,173,122071,85541,60981,122071,60981,60981,60981,60981,60981,60981
Partitions scanned,,174,122071,91234,61163,122071,61163,61163,61163,61163,61163,61163
Partitions scanned,,175,122071,78553,60996,122071,60996,60996,60996,60996,60996,60996
